Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Oskelly ID,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT U,Женское,Сумки тоут,FENDI,Ткань,Коричневый,Короткие ручки,Да,Новое с биркой,Частный продавец,2032937,375900,Sunshine,,,Да
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2033282,83000,,,Да,Да
INT U,Женское,Рюкзаки,MARC JACOBS,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,2033236,45000,,,,
INT U,Женское,Сумки с короткими ручками,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,2033129,207900,,,,Да
INT S,Женское,Сумки через плечо,PRADA,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2033218,295000,Pocket,,,
INT U,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,,Отличное состояние,Частный продавец,2027250,120000,Petite Malle,,,
INT U,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Коричневый,Длинный ремень,Да,Новое с биркой,Частный продавец,2032149,275900,Manhattan,,,Да
INT U,Женское,Пляжные сумки,ZIMMERMANN,Плетение,Бежевый,Короткие ручки,,Новое с биркой,Частный продавец,2033111,130000,,,,
INT S,Женское,Сумки с короткими ручками,COACH,Кожа,Белый,Короткие ручки,,Новое с биркой,Частный продавец,2033057,13500,,,,
INT U,Женское,Сумки тоут,BURBERRY,Другое,Мульти,Длинный ремень,,Новое с биркой,Частный продавец,2030609,128658,Freya,,,
INT U,Женское,Сумки тоут,FENDI,Кожа,Темно-синий,Длинный ремень,Да,Новое с биркой,Частный продавец,2031443,682990,Peekaboo,,,Да
INT M,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Средние ручки,,Отличное состояние,Частный продавец,1910514,73400,,Да,,
INT M,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Мех,Черный,Средние ручки,,Хорошее состояние,Частный продавец,1921206,85000,,,,
INT U,Женское,Сумки через плечо,FENDI,Кожа,Коричневый,Длинный ремень,Да,Новое с биркой,Частный продавец,2030624,469990,Baguette,,,Да
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Замша,Розовый,Средние ручки,,Хорошее состояние,Частный продавец,1035768,232000,Flap,Да,,
INT XS,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Розовый,Короткие ручки,,Отличное состояние,Частный продавец,685703,69500,Pochette,Да,,
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2031674,115000,,,,
INT XS,Женское,Клатчи и вечерние сумки,BOTTEGA VENETA,Экзотическая кожа,Черный,Короткие ручки,,Отличное состояние,Частный продавец,2025380,107150,,,,
INT S,Женское,Сумки через плечо,FENDI,Кожа,Серый,Длинный ремень,,Отличное состояние,Частный продавец,1821318,55500,,,,
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2031675,110000,,,,
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2031676,100000,,,,
INT M,Женское,Сумки через плечо,MICHAEL KORS,Другое,Бежевый,Длинный ремень,,Новое с биркой,Частный продавец,2033011,17900,,,,
INT S,Женское,Сумки через плечо,MICHAEL KORS,Другое,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2033001,15500,,,,
INT U,Женское,Сумки тоут,TOTEME,Кожа,Другое,Средние ручки,,Новое с биркой,Частный продавец,2033195,130941,,,,
INT M,Женское,Сумки с короткими ручками,MICHAEL KORS,Другое,Коричневый,Длинный ремень,,Отличное состояние,Частный продавец,2032957,22500,,,,
INT S,Женское,Сумки через плечо,DIESEL,Деним,Голубой,Средние ручки,Да,Новое с биркой,Частный продавец,2032908,75000,,,,
INT U,Женское,Сумки тоут,LOEWE,Плетение,Бежевый,Короткие ручки,,Новое с биркой,Частный продавец,2033002,117418,,,,
INT S,Женское,Сумки с короткими ручками,PRADA,Ткань,Черный,Короткие ручки,,Новое с биркой,Частный продавец,2032738,190000,Re-Edition 2000,,,
INT M,Женское,Сумки тоут,SAINT LAURENT,Кожа,Коричневый,Средние ручки,,Хорошее состояние,Частный продавец,1729153,110000,Sac de Jour,,,
INT U,Женское,Сумки с короткими ручками,JACQUEMUS,Другое,Коричневый,Длинный ремень,,Новое с биркой,Частный продавец,2032754,122294,Le Bambino,,,
INT S,Женское,Сумки с короткими ручками,BALENCIAGA,Кожа,Антрацит,Короткие ручки,,Новое с биркой,Частный продавец,2027173,418000,,,,
INT XS,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,1739287,90000,Pochette,Да,,
INT L,Женское,Сумки тоут,STELLA MCCARTNEY,Шерсть,Другое,Короткие ручки,,Отличное состояние,Частный продавец,2032356,15000,,,,
INT U,Женское,Сумки с короткими ручками,PRADA,Другое,Черный,Средние ручки,,Новое с биркой,Частный продавец,2030133,223448,,,,
INT XL,Женское,Сумки тоут,GUCCI,Другое,Бежевый,Длинный ремень,Да,Новое с биркой,Частный продавец,2032267,165000,Ophidia,,,
INT M,Женское,Сумки через плечо,GUCCI,Ткань,Бежевый,Средние ручки,,Хорошее состояние,Частный продавец,2032256,55000,Hobo,,,
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Белый,Короткие ручки,Да,Новое с биркой,Частный продавец,2030521,626900,,,,Да
INT L,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2032134,260000,Sunset,,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Бежевый,Короткие ручки,,Отличное состояние,Частный продавец,2032106,585000,Capucines,,,
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Коричневый,Короткие ручки,Да,Новое с биркой,Частный продавец,2030803,720900,,,,Да
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Серый,Короткие ручки,Да,Новое с биркой,Частный продавец,2030845,673900,,,,Да
INT S,Женское,Сумки через плечо,PRADA,Другое,Черный,Средние ручки,,Хорошее состояние,Частный продавец,2032050,79000,,,,
INT M,Женское,Сумки через плечо,DOLCE&GABBANA,Кожа,Коричневый,Длинный ремень,,Отличное состояние,Частный продавец,2031982,46000,,,,
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Бежевый,Короткие ручки,Да,Новое с биркой,Частный продавец,2030899,673900,,,,Да
INT S,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Короткие ручки,,Новое с биркой,Частный продавец,2031883,69000,Pochette,,,
INT M,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Серый,Короткие ручки,,Отличное состояние,Частный продавец,2034673,309530,,,,
INT M,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Золотой,Средние ручки,,Отличное состояние,Частный продавец,1950856,185000,,,,
INT S,Женское,Сумки через плечо,NINA RICCI,Замша,Серый,Средние ручки,,Хорошее состояние,Частный продавец,2030069,13500,,,,
INT S,Женское,Сумки тоут,HERMES PRE-OWNED,Кожа,Синий,Длинный ремень,,Отличное состояние,Частный продавец,2033830,800000,Jypsiere,,,
INT M,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,2033047,663340,,,,
INT S,Женское,Сумки через плечо,ALAIA,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1958150,10000,,Да,,
INT S,Женское,Поясные сумки,GUCCI,Кожа,Бежевый,Средние ручки,,Отличное состояние,Частный продавец,1959190,39000,GG Marmont,,,
INT M,Женское,Сумки с короткими ручками,SAINT LAURENT,Лакированная кожа,Черный,Короткие ручки,,Отличное состояние,Частный продавец,1850480,26500,,Да,,
INT XS,Женское,Рюкзаки,MICHAEL KORS,Кожа,Красный,Средние ручки,,Отличное состояние,Частный продавец,1996604,12500,,,,
INT S,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Бордовый,Длинный ремень,,Отличное состояние,Частный продавец,1979196,180000,,,,
INT XS,Женское,Клатчи и вечерние сумки,BOTTEGA VENETA,Экзотическая кожа,Черный,Короткие ручки,,Отличное состояние,Частный продавец,1752341,200000,Knot,,,
INT S,Женское,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1901021,46920,,,,
INT XS,Женское,Аксессуары для сумок,FENDI,Кожа,Коричневый,Длинный ремень,,Отличное состояние,Частный продавец,2011242,14500,,,,
INT U,Женское,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Бежевый,Средние ручки,,Отличное состояние,Частный продавец,1877695,27000,,Да,,
INT S,Женское,Сумки через плечо,FURLA,Кожа,Голубой,Длинный ремень,,Отличное состояние,Частный продавец,1943370,12000,,,,
INT S,Женское,Сумки с короткими ручками,LOEWE,Замша,Голубой,Средние ручки,,Отличное состояние,Частный продавец,1924337,19000,,Да,,
INT L,Женское,Сумки с короткими ручками,SOPHIE HULME,Кожа,Коричневый,Короткие ручки,,Отличное состояние,Частный продавец,1877607,28500,,,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Средние ручки,,Хорошее состояние,Частный продавец,2001285,89000,,Да,,
INT U,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,,Хорошее состояние,Частный продавец,1963256,50000,Galliera,Да,,
INT M,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2020348,200000,Twist,,,
INT M,Женское,Сумки через плечо,FURLA,Кожа,Темно-синий,Средние ручки,,Отличное состояние,Частный продавец,2018053,30000,1927,,Да,
INT M,Женское,Сумки тоут,MICHAEL KORS,Другое,Мульти,Короткие ручки,,Отличное состояние,Частный продавец,2008201,15000,,,,
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2035396,379000,Evelyne,,Да,
INT S,Женское,Сумки тоут,MICHAEL KORS,Искусственная кожа,Голубой,Длинный ремень,,Новое с биркой,Частный продавец,1879223,17000,,,,
INT S,Женское,Сумки через плечо,TOM FORD,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1821086,90000,,,,
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Лакированная кожа,Бежевый,Короткие ручки,Да,Отличное состояние,Частный продавец,2027990,153000,Jodie,,,
INT XS,Женское,Поясные сумки,HERMES PRE-OWNED,Кожа,Голубой,Длинный ремень,,Новое с биркой,Частный продавец,2034198,405000,Constance,,,
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Розовый,Длинный ремень,,Новое с биркой,Частный продавец,2034066,375000,Evelyne,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Зеленый,Средние ручки,Да,Новое с биркой,Частный продавец,2034300,2720000,Birkin,,Да,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Короткие ручки,,Отличное состояние,Частный продавец,2034392,700000,Birkin,Да,,
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,,Новое с биркой,Частный продавец,2035084,925000,Kelly,,,
INT U,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Коричневый,Длинный ремень,,Новое с биркой,Частный продавец,2035085,369000,Evelyne,,,
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Короткие ручки,,Новое с биркой,Частный продавец,2034082,2790000,Birkin,,,
INT U,Женское,Сумки тоут,FURLA,Кожа,Черный,Короткие ручки,,Отличное состояние,Частный продавец,2017627,14000,,,,
INT U,Женское,Рюкзаки,CALVIN KLEIN,Другое,Серый,Средние ручки,,Новое с биркой,Частный продавец,1490004,13500,,,,
INT L,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Коричневый,Длинный ремень,Да,Новое с биркой,Частный продавец,2034567,535000,Herbag,,Да,
