Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Oskelly ID,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT M,Женское,Сумки тоут,MIU MIU,Другое,Черный,Средние ручки,,Новое с биркой,Частный продавец,2034902,197000,,,,
INT U,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Бежевый,Средние ручки,,Новое с биркой,Бутик,1715452,251900,,,,
INT S,Женское,Сумки через плечо,MIU MIU,Кожа,Бежевый,Длинный ремень,,Новое с биркой,Частный продавец,2034916,176000,,,,
INT S,Женское,Сумки через плечо,MIU MIU,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2034929,185000,,,,
INT U,Женское,Сумки через плечо,GUCCI,Кожа,Другое,Длинный ремень,,Хорошее состояние,Частный продавец,1884716,23000,,,,
INT M,Женское,Сумки тоут,SALVATORE FERRAGAMO,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,2031456,36000,,,,
INT M,Женское,Сумки тоут,HERMES PRE-OWNED,Экзотическая кожа,Мульти,Короткие ручки,,Отличное состояние,Частный продавец,1720504,1197000,Birkin,,,
INT S,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Другое,Бордовый,Длинный ремень,,Отличное состояние,Частный продавец,2029344,75000,,Да,,
INT M,Женское,Сумки с короткими ручками,COACH,Ткань,Бежевый,Средние ручки,,Отличное состояние,Частный продавец,2003299,11000,,Да,,
INT M,Женское,Сумки через плечо,OFF-WHITE,Кожа,Бежевый,Короткие ручки,,Отличное состояние,Частный продавец,1575540,57000,Pump pouch,,,
INT XS,Женское,Сумки через плечо,CHLOE,Кожа,Бежевый,Длинный ремень,,Хорошее состояние,Частный продавец,1357159,22500,Drew,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Черный,Средние ручки,,Отличное состояние,Частный продавец,2033113,1500000,Kelly,,,
INT M,Женское,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,1975138,75000,Le Chiquito,,,
INT XS,Женское,Клатчи и вечерние сумки,OLYMPIA LE TAN,Другое,Бежевый,Короткие ручки,Да,Новое с биркой,Частный продавец,1802735,15000,,,Да,
INT XS,Женское,Клатчи и вечерние сумки,DOLCE&GABBANA,Лакированная кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2007925,31000,,,,
INT XS,Женское,Сумки с короткими ручками,BY FAR,Кожа,Зеленый,Средние ручки,,Новое с биркой,Частный продавец,1995779,17500,,,,
INT M,Женское,Рюкзаки,GUCCI,Кожа,Другое,Короткие ручки,,Отличное состояние,Частный продавец,2002248,80000,,,,
INT S,Женское,Клатчи и вечерние сумки,HERMES PRE-OWNED,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2033677,690100,Chaine d'ancre,,Да,Да
INT M,Женское,Сумки тоут,COCCINELLE,Кожа,Розовый,Длинный ремень,,Новое с биркой,Частный продавец,148384,19440,,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Голубой,Средние ручки,,Отличное состояние,Частный продавец,2033104,610000,Kelly,,,
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Красный,Длинный ремень,,Отличное состояние,Частный продавец,2033127,290000,Evelyne,,,
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Зеленый,Длинный ремень,,Отличное состояние,Частный продавец,2033118,365000,Kelly,,,
INT M,Женское,Клатчи и вечерние сумки,VALENTINO,Кожа,Синий,Средние ручки,Да,Отличное состояние,Частный продавец,329108,37000,,,,
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Фиолетовый,Длинный ремень,,Отличное состояние,Частный продавец,1180916,36000,Glam Lock,,,
INT M,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,1910122,110000,Cassette,,,
INT M,Женское,Сумки тоут,FENDI,Кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,1848880,245000,Peekaboo,,,
INT L,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Мульти,Короткие ручки,Да,Новое с биркой,Частный продавец,2033302,420000,Herbag,,Да,
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Оранжевый,Длинный ремень,Да,Новое с биркой,Частный продавец,2033538,358000,Evelyne,,Да,
INT L,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Синий,Короткие ручки,Да,Отличное состояние,Частный продавец,1132596,850000,Birkin,,,
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2031674,115000,,,,
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2031675,110000,,,,
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,2031676,100000,,,,
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Белый,Длинный ремень,,Новое с биркой,Частный продавец,2032218,870000,Lindy,,,
INT S,Женское,Сумки через плечо,MICHAEL KORS,Кожа,Темно-синий,Длинный ремень,,Новое с биркой,Частный продавец,870680,27500,,,,
INT XS,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Короткие ручки,Да,Новое с биркой,Частный продавец,2031807,445000,Picotin,,Да,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Ткань,Розовый,Средние ручки,Да,Отличное состояние,Частный продавец,2024429,81000,,Да,,
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Длинный ремень,Да,Новое с биркой,Частный продавец,2032406,327000,Herbag,,Да,Да
INT U,Женское,Сумки через плечо,COMME DES GARÇONS,Кожа,Другое,Средние ручки,,Новое с биркой,Частный продавец,1534217,48100,,,,
INT U,Женское,Поясные сумки,LOUIS VUITTON PRE-OWNED,Другое,Мульти,Длинный ремень,,Новое с биркой,Частный продавец,2020479,340000,,,,
INT S,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Серый,Длинный ремень,,Хорошее состояние,Частный продавец,1936747,130000,Puffer,,,
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Короткие ручки,Да,Новое с биркой,Частный продавец,1963775,565000,Herbag,,Да,
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Бежевый,Длинный ремень,Да,Отличное состояние,Частный продавец,1193726,81500,,,,
INT XS,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,Да,Хорошее состояние,Частный продавец,2012843,78000,,,,
INT L,Женское,Сумки тоут,SAINT LAURENT,Ткань,Черный,Средние ручки,,Новое с биркой,Частный продавец,2023838,17450,,,,
INT L,Женское,Сумки через плечо,BVLGARI,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,1735035,158000,Serpenti,,Да,
INT M,Женское,Сумки через плечо,BVLGARI,Кожа,Зеленый,Длинный ремень,Да,Отличное состояние,Частный продавец,1822079,148000,Serpenti,,Да,
INT S,Женское,Клатчи и вечерние сумки,GIVENCHY,Кожа,Розовый,Короткие ручки,,Отличное состояние,Частный продавец,1966065,13000,,,,
INT XS,Женское,Сумки с короткими ручками,CELINE PRE-OWNED,Ткань,Белый,Короткие ручки,,Отличное состояние,Частный продавец,1993088,30000,,Да,,
INT M,Женское,Сумки тоут,VERSACE,Кожа,Белый,Средние ручки,,Хорошее состояние,Частный продавец,1992750,50000,La Medusa,,,
INT S,Женское,Сумки с короткими ручками,BALENCIAGA,Кожа,Розовый,Короткие ручки,Да,Отличное состояние,Частный продавец,1449159,120000,Hourglass,,,
INT M,Женское,Сумки тоут,PRADA,Ткань,Темно-синий,Средние ручки,,Отличное состояние,Частный продавец,1684684,65000,Tessuto,,,
INT M,Женское,Сумки тоут,OFF-WHITE,Другое,Черный,Средние ручки,,Хорошее состояние,Частный продавец,2030586,17500,,,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Бежевый,Короткие ручки,,Отличное состояние,Частный продавец,2004404,56000,Speedy,,,
INT M,Женское,Сумки с короткими ручками,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2033307,180000,Belt,,,
INT XS,Женское,Поясные сумки,ADIDAS BY STELLA MCCARTNEY,Другое,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2029499,18000,,,,
INT M,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Лакированная кожа,Красный,Короткие ручки,Да,Отличное состояние,Частный продавец,1975507,108000,,Да,,
INT S,Женское,Сумки через плечо,VERSACE,Кожа,Белый,Длинный ремень,,Хорошее состояние,Частный продавец,1994767,47500,Vitrus,,,
INT XS,Женское,Поясные сумки,DOLCE & GABBANA VINTAGE,Кожа,Фуксия,Длинный ремень,,Отличное состояние,Частный продавец,891852,19000,,,,
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,Да,Отличное состояние,Частный продавец,1791744,155000,Belt,,,Да
INT S,Женское,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2033308,195000,,,,
INT S,Женское,Сумки через плечо,EERA,Другое,Белый,Длинный ремень,,Новое с биркой,Частный продавец,2028526,72000,,,,
INT S,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2031545,395000,Lady,,,
INT M,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Мех,Черный,Короткие ручки,,Отличное состояние,Частный продавец,2030681,569000,,,,
INT XS,Женское,Клатчи и вечерние сумки,CHANEL PRE-OWNED,Хлопок,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2028920,230000,Classic,,,
INT M,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2028536,380000,,,,
INT S,Женское,Клатчи и вечерние сумки,VALENTINO,Кожа,Мульти,Короткие ручки,,Отличное состояние,Частный продавец,2030384,32800,,,,
INT U,Женское,Сумки тоут,BOTTEGA VENETA,Кожа,Бордовый,Короткие ручки,,Новое с биркой,Частный продавец,2031374,239000,Arco,,,
INT S,Женское,Поясные сумки,GUCCI,Бархат,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1728108,49500,GG Marmont,,,
INT U,Женское,Сумки через плечо,LOEWE,Кожа,Серый,Длинный ремень,Да,Новое с биркой,Частный продавец,2031577,285000,Puzzle,,Да,
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Фуксия,Средние ручки,Да,Отличное состояние,Частный продавец,1684426,495000,Lindy,,Да,
INT S,Женское,Клатчи и вечерние сумки,FENDI,Мех,Другое,Короткие ручки,,Отличное состояние,Частный продавец,946999,300000,Baguette,Да,,
INT XS,Женское,Сумки через плечо,GUCCI,Деним,Бежевый,Длинный ремень,Да,Отличное состояние,Частный продавец,2028938,313340,Horsebit 1955,,,
INT M,Женское,Сумки через плечо,GUCCI,Деним,Голубой,Длинный ремень,Да,Отличное состояние,Частный продавец,2029118,163340,GG Marmont,,,
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Деним,Темно-синий,Длинный ремень,,Хорошее состояние,Частный продавец,2029386,160000,,,,
INT S,Женское,Сумки через плечо,COACH,Кожа,Красный,Длинный ремень,,Отличное состояние,Частный продавец,1970372,10000,,,,
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2030929,280000,,,Да,Да
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Золотой,Длинный ремень,,Новое с биркой,Бутик,1478367,35630,,,,
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2033899,220000,C Bag,,Да,Да
INT XS,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Серебряный,Средние ручки,,Хорошее состояние,Частный продавец,1912850,81200,,,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Синий,Длинный ремень,,Новое с биркой,Бутик,1512839,18830,,,,
INT XS,Женское,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Короткие ручки,,Отличное состояние,Частный продавец,1784171,81200,Baguette,Да,,
INT L,Женское,Сумки тоут,COACH,Искусственная кожа,Бежевый,Средние ручки,,Новое с биркой,Частный продавец,1982447,32000,,,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Искусственная кожа,Коричневый,Средние ручки,,Новое с биркой,Бутик,1593089,18830,,,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Синий,Длинный ремень,,Новое с биркой,Бутик,1512838,18830,,,,
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,1994816,150000,,,Да,
INT M,Женское,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,,Хорошее состояние,Частный продавец,1987441,67690,,Да,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Коричневый,Длинный ремень,,Новое с биркой,Бутик,1512836,18830,,,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Короткие ручки,,Хорошее состояние,Частный продавец,1987952,171480,Speedy,,,
INT M,Женское,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,963808,103750,,Да,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Длинный ремень,,Новое с биркой,Бутик,1512837,18830,,,,
INT L,Женское,Сумки тоут,GUCCI,Кожа,Черный,Средние ручки,,Хорошее состояние,Частный продавец,1246006,54150,,Да,,
INT S,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Темно-синий,Длинный ремень,,Хорошее состояние,Частный продавец,1494342,67690,,,,
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Черный,Средние ручки,,Новое с биркой,Бутик,1512834,44730,,,,
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Коричневый,Длинный ремень,,Новое с биркой,Бутик,1512833,44730,,,,
INT M,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Оранжевый,Средние ручки,,Хорошее состояние,Частный продавец,2022359,103750,Hobo,,,
INT XS,Женское,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,,Отличное состояние,Частный продавец,1969261,33000,,,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Длинный ремень,,Новое с биркой,Бутик,1478362,56630,,,,
INT M,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,Да,Новое с биркой,Частный продавец,1964578,161000,,,,
INT M,Женское,Сумки с короткими ручками,CHLOE,Кожа,Бежевый,Средние ручки,Да,Отличное состояние,Частный продавец,1537962,101000,Kiss,,,
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Коричневый,Средние ручки,,Новое с биркой,Бутик,1478361,56630,,,,
INT XS,Женское,Сумки с короткими ручками,WANDLER,Кожа,Красный,Длинный ремень,Да,Отличное состояние,Частный продавец,817708,36000,,,Да,
INT S,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Красный,Длинный ремень,,Отличное состояние,Частный продавец,318052,25000,,,,
INT U,Женское,Сумки через плечо,VERSACE JEANS COUTURE,Искусственная кожа,Коричневый,Средние ручки,,Новое с биркой,Бутик,1639410,27930,,,,
INT U,Женское,Сумки тоут,PINKO,Кожа,Бежевый,Длинный ремень,,Новое с биркой,Бутик,1444667,45430,,,,
INT M,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,1670733,144000,Diorama,,,
INT XS,Женское,Сумки через плечо,YUZEFI,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,1527403,36900,,,,
INT U,Женское,Сумки тоут,PINKO,Кожа,Черный,Длинный ремень,,Новое с биркой,Бутик,1444823,45430,,,,
INT XS,Женское,Сумки с короткими ручками,COACH,Кожа,Бежевый,Средние ручки,Да,Отличное состояние,Частный продавец,1954288,27000,Tabby,,,Да
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,1961556,50000,,,,
INT U,Женское,Рюкзаки,PINKO,Кожа,Черный,Средние ручки,,Новое с биркой,Бутик,1444822,44030,,,,
INT M,Женское,Сумки с короткими ручками,JIL SANDER,Кожа,Зеленый,Средние ручки,,Хорошее состояние,Частный продавец,1829591,17000,,,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,1968896,45000,Alma,Да,,
INT U,Женское,Сумки через плечо,PINKO,Кожа,Черный,Длинный ремень,,Новое с биркой,Бутик,1444819,41930,,,,
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Искусственная кожа,Синий,Короткие ручки,,Новое с биркой,Бутик,1429473,26530,,,,
INT L,Женское,Сумки с короткими ручками,LOEWE,Кожа,Серебряный,Короткие ручки,,Отличное состояние,Частный продавец,1951157,12000,,,,
INT M,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Белый,Средние ручки,,Хорошее состояние,Частный продавец,2014620,47000,,Да,,
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Искусственная кожа,Коричневый,Средние ручки,,Новое с биркой,Бутик,1593607,26530,,,,
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,,Хорошее состояние,Частный продавец,849850,23000,Glam Lock,,,
INT S,Женское,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Ткань,Мульти,Короткие ручки,,Новое с биркой,Частный продавец,580482,185000,,,,
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Серый,Короткие ручки,,Новое с биркой,Бутик,1363945,28630,,,,
INT M,Женское,Сумки через плечо,ULYANA SERGEENKO,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1395405,90000,,,,
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1980254,200000,,,,
INT S,Женское,Сумки через плечо,TOD'S,Кожа,Белый,Длинный ремень,,Отличное состояние,Частный продавец,2029071,55000,,,,
INT XS,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Черный,Средние ручки,,Отличное состояние,Частный продавец,2028698,60000,,,,
INT M,Женское,Сумки тоут,COCCINELLE,Кожа,Коричневый,Средние ручки,,Отличное состояние,Частный продавец,2028465,15000,,,,
INT S,Женское,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Голубой,Длинный ремень,Да,Новое с биркой,Частный продавец,2028846,21000,,,,
INT M,Женское,Сумки через плечо,LOVE MOSCHINO,Другое,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,2028888,13000,,,,
INT S,Женское,Сумки через плечо,MARC JACOBS,Лакированная кожа,Фуксия,Длинный ремень,,Отличное состояние,Частный продавец,2028978,35000,The Snapshot Bag,,,Да
INT M,Женское,Сумки с короткими ручками,TRUSSARDI,Искусственная кожа,Черный,Средние ручки,Да,Отличное состояние,Частный продавец,2029115,10670,,,,
INT S,Женское,Клатчи и вечерние сумки,CEDRIC CHARLIER,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,2029105,13000,,,,
INT S,Женское,Сумки через плечо,WEEKEND MAX MARA,Кожа,Желтый,Длинный ремень,Да,Новое с биркой,Частный продавец,2029156,30000,,,,
INT M,Женское,Сумки через плечо,JACQUEMUS,Кожа,Фиолетовый,Длинный ремень,Да,Отличное состояние,Частный продавец,2030331,55000,Le Chiquito,,,
INT S,Женское,Рюкзаки,KARL LAGERFELD,Кожа,Черный,Средние ручки,Да,Новое с биркой,Частный продавец,2029147,24000,,,,
INT S,Женское,Сумки через плечо,MARC BY MARC JACOBS,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,1333320,35000,,,,
INT M,Женское,Сумки через плечо,ZANELLATO,Плетение,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2029031,60000,,,,
INT M,Женское,Сумки с короткими ручками,BVLGARI,Кожа,Коричневый,Короткие ручки,,Отличное состояние,Частный продавец,2029406,180000,,,,
INT XS,Женское,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Темно-синий,Длинный ремень,,Отличное состояние,Частный продавец,2029470,15000,,,,
INT M,Женское,Сумки через плечо,ZANELLATO,Кожа,Синий,Длинный ремень,,Хорошее состояние,Частный продавец,2028988,35000,,,,
INT S,Женское,Сумки через плечо,VIVIENNE WESTWOOD,Лакированная кожа,Розовый,Длинный ремень,,Хорошее состояние,Частный продавец,1763515,65960,,Да,,
INT S,Женское,Сумки с короткими ручками,VIVIENNE WESTWOOD,Лакированная кожа,Золотой,Длинный ремень,,Хорошее состояние,Частный продавец,1760786,72000,,Да,,
INT XS,Женское,Сумки через плечо,DIESEL,Кожа,Красный,Длинный ремень,,Новое с биркой,Частный продавец,2029955,48000,,,,
INT S,Женское,Клатчи и вечерние сумки,VIVIENNE WESTWOOD,Кожа,Черный,Короткие ручки,Да,Новое с биркой,Частный продавец,2028625,55000,,,,Да
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Серебряный,Длинный ремень,Да,Отличное состояние,Частный продавец,2028680,213340,GG Marmont,,,
INT M,Женское,Сумки с короткими ручками,COACH,Кожа,Коричневый,Короткие ручки,,Отличное состояние,Частный продавец,2028974,25000,,,,
INT XS,Женское,Сумки с короткими ручками,YUZEFI,Кожа,Белый,Короткие ручки,Да,Отличное состояние,Частный продавец,2028976,16000,,,,
INT M,Женское,Сумки тоут,KARL LAGERFELD,Кожа,Красный,Длинный ремень,Да,Новое с биркой,Частный продавец,2028990,24000,,,,
INT S,Женское,Сумки через плечо,BALENCIAGA,Лакированная кожа,Белый,Длинный ремень,Да,Хорошее состояние,Частный продавец,2028589,119000,,,,
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Золотой,Длинный ремень,Да,Отличное состояние,Частный продавец,2028665,613340,Gabrielle,,,
INT M,Женское,Сумки через плечо,BALENCIAGA,Кожа,Белый,Длинный ремень,Да,Хорошее состояние,Частный продавец,2028577,101500,,,,
INT S,Женское,Сумки через плечо,FURLA,Кожа,Черный,Длинный ремень,Да,Новое с биркой,Частный продавец,2029628,27000,Metropolis,,,
INT S,Женское,Клатчи и вечерние сумки,GUCCI,Другое,Бежевый,Длинный ремень,,Отличное состояние,Частный продавец,2028594,65000,Dionysus,,,
INT M,Женское,Сумки через плечо,VALENTINO,Кожа,Белый,Длинный ремень,,Новое с биркой,Частный продавец,2030011,140000,,,,
INT M,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,,Отличное состояние,Частный продавец,2030387,89000,j'adior,,,
INT S,Женское,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,2030389,56000,Le Chiquito,,,
INT S,Женское,Клатчи и вечерние сумки,PHILIPP PLEIN,Кожа,Фуксия,Длинный ремень,,Отличное состояние,Частный продавец,565023,20000,,,,
INT XS,Женское,Сумки с короткими ручками,MICHAEL KORS,Другое,Мульти,Средние ручки,,Отличное состояние,Частный продавец,2024745,15000,,,,
INT M,Женское,Сумки через плечо,VALENTINO,Плетение,Бежевый,Длинный ремень,,Отличное состояние,Частный продавец,1297833,37000,Roman Stud,,,
INT M,Женское,Сумки через плечо,OFF-WHITE,Лакированная кожа,Черный,Длинный ремень,Да,Отличное состояние,Частный продавец,1520185,33500,Jitney,,Да,
INT XS,Женское,Сумки с короткими ручками,VERSACE,Кожа,Черный,Короткие ручки,,Хорошее состояние,Частный продавец,1974778,55000,,Да,,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Средние ручки,,Хорошее состояние,Частный продавец,1732792,30000,,,,
INT M,Женское,Сумки с короткими ручками,CELINE PRE-OWNED,Экзотическая кожа,Коралловый,Средние ручки,,Отличное состояние,Частный продавец,1805300,30000,,Да,,
INT L,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Другое,Короткие ручки,,Хорошее состояние,Частный продавец,1732770,55000,,Да,,
INT M,Женское,Сумки с короткими ручками,LOEWE,Кожа,Оранжевый,Короткие ручки,,Отличное состояние,Частный продавец,1968906,37000,,Да,,
INT XS,Женское,Клатчи и вечерние сумки,DKNY,Кожа,Розовый,Средние ручки,,Хорошее состояние,Частный продавец,622687,10000,,,,
INT L,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Бордовый,Средние ручки,,Хорошее состояние,Частный продавец,1990940,37000,,,,
INT S,Женское,Сумки с короткими ручками,VERSACE,Другое,Коричневый,Короткие ручки,,Отличное состояние,Частный продавец,1994358,26000,,Да,,
INT L,Женское,Клатчи и вечерние сумки,NO. 21,Кожа,Черный,Короткие ручки,,Отличное состояние,Частный продавец,1873505,28800,,,,
INT S,Женское,Сумки через плечо,DOLCE&GABBANA,Кожа,Розовый,Длинный ремень,Да,Отличное состояние,Частный продавец,1382707,59000,Millennials,,,Да
INT S,Женское,Сумки с короткими ручками,BY FAR,Кожа,Черный,Средние ручки,,Отличное состояние,Частный продавец,1484390,33000,,,,
INT XS,Женское,Клатчи и вечерние сумки,JACQUEMUS,Кожа,Зеленый,Средние ручки,,Новое с биркой,Частный продавец,1823969,28000,,,,
INT XS,Женское,Сумки через плечо,VALENTINO,Кожа,Бежевый,Длинный ремень,,Отличное состояние,Частный продавец,1760111,79000,Vlogo,,,
INT L,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Другое,Средние ручки,,Хорошее состояние,Частный продавец,1990956,37000,,,,
INT U,Женское,Сумки тоут,LIU JO,Ткань,Черный,Средние ручки,,Новое с биркой,Бутик,1951808,13930,,,,
INT U,Женское,Сумки через плечо,LIU JO,Синтетика,Черный,Длинный ремень,,Новое с биркой,Бутик,1318509,14630,,,,
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Желтый,Средние ручки,,Хорошее состояние,Частный продавец,1843577,17000,,,,
INT XL,Женское,Сумки через плечо,VALENTINO,Деним,Красный,Средние ручки,,Хорошее состояние,Частный продавец,1232787,40500,,Да,,
INT U,Женское,Сумки через плечо,PINKO,Кожа,Розовый,Средние ручки,,Новое с биркой,Бутик,1886614,34230,,,,
INT U,Женское,Аксессуары для сумок,HERMES PRE-OWNED,Другое,Другое,Длинный ремень,,Новое с биркой,Частный продавец,2032560,164000,,,,
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2032206,462000,Herbag,,,
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Черный,Средние ручки,,Новое с биркой,Бутик,2023153,67900,,,,
INT S,Женское,Клатчи и вечерние сумки,BOTTEGA VENETA,Кожа,Черный,Длинный ремень,,Новое с биркой,Частный продавец,2031211,100000,,,,
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Оранжевый,Длинный ремень,Да,Новое с биркой,Частный продавец,2032493,470000,Herbag,,Да,
