Размер,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT S,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,230000,Ordinary,0,1,1
INT M,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Средние ручки,0,Хорошее состояние,77380,Ordinary,0,0,0
INT M,Сумки через плечо,SAINT LAURENT,Кожа,Серый,Средние ручки,0,Новое с биркой,183000,Le 5 a 7,0,0,0
INT U,Клатчи и вечерние сумки,DIANE VON FURSTENBERG,Замша,Хаки,Короткие ручки,0,Отличное состояние,20000,Ordinary,0,0,0
INT M,Сумки через плечо,DIESEL,Деним,Синий,Длинный ремень,0,Новое с биркой,64000,Ordinary,0,0,0
INT S,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Короткие ручки,0,Новое с биркой,155000,Le 5 a 7,0,0,0
INT U,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Новое с биркой,262480,Loulou,0,0,0
INT M,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,95000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Фиолетовый,Короткие ручки,0,Новое с биркой,198800,Ordinary,0,0,0
INT U,Сумки с короткими ручками,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Новое с биркой,170610,Ordinary,0,0,0
INT U,Рюкзаки,VERSACE JEANS COUTURE,Другое,Черный,Короткие ручки,0,Новое с биркой,25000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,135000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,MIU MIU,Другое,Розовый,Длинный ремень,0,Новое с биркой,225000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,BOTTEGA VENETA,Экзотическая кожа,Желтый,Средние ручки,0,Отличное состояние,104600,Ordinary,0,0,0
INT M,Сумки тоут,BOTTEGA VENETA,Экзотическая кожа,Черный,Средние ручки,0,Отличное состояние,152000,Ordinary,1,0,0
INT M,Рюкзаки,MICHAEL KORS,Кожа,Коричневый,Средние ручки,1,Новое с биркой,28990,Ordinary,0,0,0
INT U,Сумки тоут,PRADA,Другое,Бежевый,Средние ручки,0,Новое с биркой,158333,Ordinary,0,0,0
INT S,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,145800,Ordinary,1,0,0
INT U,Сумки с короткими ручками,PINKO,Кожа,Черный,Короткие ручки,0,Новое с биркой,30000,Ordinary,0,0,0
INT U,Сумки тоут,SAINT LAURENT,Ткань,Белый,Средние ручки,0,Новое с биркой,177976,Ordinary,0,0,0
INT XS,Сумки с короткими ручками,GUCCI,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,800000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,PINKO,Кожа,Белый,Средние ручки,1,Новое с биркой,29900,Ordinary,0,1,1
INT U,Сумки тоут,PRADA,Кожа,Коричневый,Средние ручки,0,Новое с биркой,365357,Ordinary,0,0,0
INT S,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,155800,Ordinary,0,0,0
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Мульти,Короткие ручки,0,Отличное состояние,155800,Alma,0,0,0
INT U,Сумки с короткими ручками,MIU MIU,Кожа,Фиолетовый,Длинный ремень,0,Новое с биркой,192262,Ordinary,0,0,0
INT U,Сумки тоут,FENDI,Ткань,Коричневый,Короткие ручки,1,Новое с биркой,375900,Ordinary,0,0,1
INT S,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,83000,Ordinary,0,1,1
INT U,Рюкзаки,MARC JACOBS,Кожа,Черный,Короткие ручки,0,Хорошее состояние,45000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,207900,Ordinary,0,0,1
INT S,Сумки через плечо,PRADA,Кожа,Черный,Длинный ремень,0,Новое с биркой,295000,Ordinary,0,0,0
INT U,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,0,Отличное состояние,120000,Petite Malle,0,0,0
INT U,Сумки через плечо,SAINT LAURENT,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,275900,Manhattan,0,0,1
INT U,Пляжные сумки,ZIMMERMANN,Плетение,Бежевый,Короткие ручки,0,Новое с биркой,130000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,COACH,Кожа,Белый,Короткие ручки,0,Новое с биркой,13500,Ordinary,0,0,0
INT U,Сумки тоут,BURBERRY,Другое,Мульти,Длинный ремень,0,Новое с биркой,128658,Ordinary,0,0,0
INT U,Сумки тоут,FENDI,Кожа,Темно-синий,Длинный ремень,1,Новое с биркой,682990,Peekaboo,0,0,1
INT M,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Средние ручки,0,Отличное состояние,73400,Ordinary,1,0,0
INT M,Сумки с короткими ручками,CHANEL PRE-OWNED,Мех,Черный,Средние ручки,0,Хорошее состояние,85000,Ordinary,0,0,0
INT U,Сумки через плечо,FENDI,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,469990,Ordinary,0,0,1
INT S,Сумки через плечо,CHANEL PRE-OWNED,Замша,Розовый,Средние ручки,0,Хорошее состояние,232000,Ordinary,1,0,0
INT XS,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Розовый,Короткие ручки,0,Отличное состояние,69500,Pochette,1,0,0
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,115000,Ordinary,0,0,0
INT XS,Клатчи и вечерние сумки,BOTTEGA VENETA,Экзотическая кожа,Черный,Короткие ручки,0,Отличное состояние,107150,Ordinary,0,0,0
INT S,Сумки через плечо,FENDI,Кожа,Серый,Длинный ремень,0,Отличное состояние,55500,Ordinary,0,0,0
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,110000,Ordinary,0,0,0
INT M,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,100000,Ordinary,0,0,0
INT M,Сумки через плечо,MICHAEL KORS,Другое,Бежевый,Длинный ремень,0,Новое с биркой,17900,Ordinary,0,0,0
INT S,Сумки через плечо,MICHAEL KORS,Другое,Черный,Длинный ремень,0,Новое с биркой,15500,Ordinary,0,0,0
INT U,Сумки тоут,TOTEME,Кожа,Другое,Средние ручки,0,Новое с биркой,130941,Ordinary,0,0,0
INT M,Сумки с короткими ручками,MICHAEL KORS,Другое,Коричневый,Длинный ремень,0,Отличное состояние,22500,Ordinary,0,0,0
INT S,Сумки через плечо,DIESEL,Деним,Голубой,Средние ручки,1,Новое с биркой,75000,Ordinary,0,0,0
INT U,Сумки тоут,LOEWE,Плетение,Бежевый,Короткие ручки,0,Новое с биркой,117418,Ordinary,0,0,0
INT S,Сумки с короткими ручками,PRADA,Ткань,Черный,Короткие ручки,0,Новое с биркой,190000,Ordinary,0,0,0
INT M,Сумки тоут,SAINT LAURENT,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,110000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,JACQUEMUS,Другое,Коричневый,Длинный ремень,0,Новое с биркой,122294,Ordinary,0,0,0
INT S,Сумки с короткими ручками,BALENCIAGA,Кожа,Антрацит,Короткие ручки,0,Новое с биркой,418000,Ordinary,0,0,0
INT XS,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Короткие ручки,0,Хорошее состояние,90000,Pochette,1,0,0
INT L,Сумки тоут,STELLA MCCARTNEY,Шерсть,Другое,Короткие ручки,0,Отличное состояние,15000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,PRADA,Другое,Черный,Средние ручки,0,Новое с биркой,223448,Ordinary,0,0,0
INT XL,Сумки тоут,GUCCI,Другое,Бежевый,Длинный ремень,1,Новое с биркой,165000,Ordinary,0,0,0
INT M,Сумки через плечо,GUCCI,Ткань,Бежевый,Средние ручки,0,Хорошее состояние,55000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,FENDI,Кожа,Белый,Короткие ручки,1,Новое с биркой,626900,Ordinary,0,0,1
INT L,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Отличное состояние,260000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Бежевый,Короткие ручки,0,Отличное состояние,585000,Capucines,0,0,0
INT U,Сумки с короткими ручками,FENDI,Кожа,Коричневый,Короткие ручки,1,Новое с биркой,720900,Ordinary,0,0,1
INT U,Сумки с короткими ручками,FENDI,Кожа,Серый,Короткие ручки,1,Новое с биркой,673900,Ordinary,0,0,1
INT S,Сумки через плечо,PRADA,Другое,Черный,Средние ручки,0,Хорошее состояние,79000,Ordinary,0,0,0
INT M,Сумки через плечо,DOLCE&GABBANA,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,46000,Ordinary,0,0,0
INT U,Сумки с короткими ручками,FENDI,Кожа,Бежевый,Короткие ручки,1,Новое с биркой,673900,Ordinary,0,0,1
INT S,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Короткие ручки,0,Новое с биркой,69000,Pochette,0,0,0
INT M,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Серый,Короткие ручки,0,Отличное состояние,309530,Ordinary,0,0,0
INT M,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Золотой,Средние ручки,0,Отличное состояние,185000,Ordinary,0,0,0
INT S,Сумки через плечо,NINA RICCI,Замша,Серый,Средние ручки,0,Хорошее состояние,13500,Ordinary,0,0,0
INT S,Сумки тоут,HERMES PRE-OWNED,Кожа,Синий,Длинный ремень,0,Отличное состояние,800000,Jypsiere,0,0,0
INT M,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,0,Хорошее состояние,663340,Ordinary,0,0,0
INT S,Сумки через плечо,ALAIA,Кожа,Черный,Длинный ремень,0,Отличное состояние,10000,Ordinary,1,0,0
INT S,Поясные сумки,GUCCI,Кожа,Бежевый,Средние ручки,0,Отличное состояние,39000,Ordinary,0,0,0
INT M,Сумки с короткими ручками,SAINT LAURENT,Лакированная кожа,Черный,Короткие ручки,0,Отличное состояние,26500,Ordinary,1,0,0
INT XS,Рюкзаки,MICHAEL KORS,Кожа,Красный,Средние ручки,0,Отличное состояние,12500,Ordinary,0,0,0
INT S,Сумки через плечо,SAINT LAURENT,Кожа,Бордовый,Длинный ремень,0,Отличное состояние,180000,Ordinary,0,0,0
INT XS,Клатчи и вечерние сумки,BOTTEGA VENETA,Экзотическая кожа,Черный,Короткие ручки,0,Отличное состояние,200000,Ordinary,0,0,0
INT S,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Черный,Длинный ремень,0,Отличное состояние,46920,Ordinary,0,0,0
INT U,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Бежевый,Средние ручки,0,Отличное состояние,27000,Ordinary,1,0,0
INT S,Сумки через плечо,FURLA,Кожа,Голубой,Длинный ремень,0,Отличное состояние,12000,Ordinary,0,0,0
INT S,Сумки с короткими ручками,LOEWE,Замша,Голубой,Средние ручки,0,Отличное состояние,19000,Ordinary,1,0,0
INT L,Сумки с короткими ручками,SOPHIE HULME,Кожа,Коричневый,Короткие ручки,0,Отличное состояние,28500,Ordinary,0,0,0
INT M,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,89000,Ordinary,1,0,0
INT U,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,0,Хорошее состояние,50000,Ordinary,1,0,0
INT M,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,200000,Twist,0,0,0
INT M,Сумки через плечо,FURLA,Кожа,Темно-синий,Средние ручки,0,Отличное состояние,30000,Ordinary,0,1,0
INT M,Сумки тоут,MICHAEL KORS,Другое,Мульти,Короткие ручки,0,Отличное состояние,15000,Ordinary,0,0,0
