Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Красный,Длинный ремень,0,Отличное состояние,Частный продавец,290000,Evelyne,0,0,0
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Зеленый,Длинный ремень,0,Отличное состояние,Частный продавец,365000,Kelly,0,0,0
INT M,Женское,Клатчи и вечерние сумки,VALENTINO,Кожа,Синий,Средние ручки,1,Отличное состояние,Частный продавец,37000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Фиолетовый,Длинный ремень,0,Отличное состояние,Частный продавец,36000,Glam Lock,0,0,0
INT M,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,110000,Cassette,0,0,0
INT M,Женское,Сумки тоут,FENDI,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,245000,Peekaboo,0,0,0
INT L,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Мульти,Короткие ручки,1,Новое с биркой,Частный продавец,420000,Herbag,0,1,0
INT XS,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Оранжевый,Длинный ремень,1,Новое с биркой,Частный продавец,358000,Evelyne,0,1,0
INT L,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Синий,Короткие ручки,1,Отличное состояние,Частный продавец,850000,Birkin,0,0,0
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,115000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,110000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,100000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Белый,Длинный ремень,0,Новое с биркой,Частный продавец,870000,Lindy,0,0,0
INT S,Женское,Сумки через плечо,MICHAEL KORS,Кожа,Темно-синий,Длинный ремень,0,Новое с биркой,Частный продавец,27500,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Коричневый,Короткие ручки,1,Новое с биркой,Частный продавец,445000,Picotin,0,1,0
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Ткань,Розовый,Средние ручки,1,Отличное состояние,Частный продавец,81000,Ordinary,1,0,0
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Красный,Длинный ремень,1,Новое с биркой,Частный продавец,327000,Herbag,0,1,1
INT U,Женское,Сумки через плечо,COMME DES GARÇONS,Кожа,Другое,Средние ручки,0,Новое с биркой,Частный продавец,48100,Ordinary,0,0,0
INT U,Женское,Поясные сумки,LOUIS VUITTON PRE-OWNED,Другое,Мульти,Длинный ремень,0,Новое с биркой,Частный продавец,340000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Серый,Длинный ремень,0,Хорошее состояние,Частный продавец,130000,Puffer,0,0,0
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Темно-синий,Короткие ручки,1,Новое с биркой,Частный продавец,565000,Herbag,0,1,0
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Бежевый,Длинный ремень,1,Отличное состояние,Частный продавец,81500,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,1,Хорошее состояние,Частный продавец,78000,Ordinary,0,0,0
INT L,Женское,Сумки тоут,SAINT LAURENT,Ткань,Черный,Средние ручки,0,Новое с биркой,Частный продавец,17450,Ordinary,0,0,0
INT L,Женское,Сумки через плечо,BVLGARI,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,158000,Serpenti,0,1,0
INT M,Женское,Сумки через плечо,BVLGARI,Кожа,Зеленый,Длинный ремень,1,Отличное состояние,Частный продавец,148000,Serpenti,0,1,0
INT S,Женское,Клатчи и вечерние сумки,GIVENCHY,Кожа,Розовый,Короткие ручки,0,Отличное состояние,Частный продавец,13000,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,CELINE PRE-OWNED,Ткань,Белый,Короткие ручки,0,Отличное состояние,Частный продавец,30000,Ordinary,1,0,0
INT M,Женское,Сумки тоут,VERSACE,Кожа,Белый,Средние ручки,0,Хорошее состояние,Частный продавец,50000,La Medusa,0,0,0
INT S,Женское,Сумки с короткими ручками,BALENCIAGA,Кожа,Розовый,Короткие ручки,1,Отличное состояние,Частный продавец,120000,Hourglass,0,0,0
INT M,Женское,Сумки тоут,PRADA,Ткань,Темно-синий,Средние ручки,0,Отличное состояние,Частный продавец,65000,Tessuto,0,0,0
INT M,Женское,Сумки тоут,OFF-WHITE,Другое,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,17500,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Бежевый,Короткие ручки,0,Отличное состояние,Частный продавец,56000,Speedy,0,0,0
INT M,Женское,Сумки с короткими ручками,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,180000,Belt,0,0,0
INT XS,Женское,Поясные сумки,ADIDAS BY STELLA MCCARTNEY,Другое,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,18000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Лакированная кожа,Красный,Короткие ручки,1,Отличное состояние,Частный продавец,108000,Ordinary,1,0,0
INT S,Женское,Сумки через плечо,VERSACE,Кожа,Белый,Длинный ремень,0,Хорошее состояние,Частный продавец,47500,Vitrus,0,0,0
INT XS,Женское,Поясные сумки,DOLCE & GABBANA VINTAGE,Кожа,Фуксия,Длинный ремень,0,Отличное состояние,Частный продавец,19000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,1,Отличное состояние,Частный продавец,155000,Belt,0,0,1
INT S,Женское,Сумки с короткими ручками,MIU MIU,Кожа,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,195000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,EERA,Другое,Белый,Длинный ремень,0,Новое с биркой,Частный продавец,72000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,395000,Lady,0,0,0
INT M,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Мех,Черный,Короткие ручки,0,Отличное состояние,Частный продавец,569000,Ordinary,0,0,0
INT XS,Женское,Клатчи и вечерние сумки,CHANEL PRE-OWNED,Хлопок,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,230000,Classic,0,0,0
INT M,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,380000,Ordinary,0,0,0
INT S,Женское,Клатчи и вечерние сумки,VALENTINO,Кожа,Мульти,Короткие ручки,0,Отличное состояние,Частный продавец,32800,Ordinary,0,0,0
INT U,Женское,Сумки тоут,BOTTEGA VENETA,Кожа,Бордовый,Короткие ручки,0,Новое с биркой,Частный продавец,239000,Arco,0,0,0
INT S,Женское,Поясные сумки,GUCCI,Бархат,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,49500,GG Marmont,0,0,0
INT U,Женское,Сумки через плечо,LOEWE,Кожа,Серый,Длинный ремень,1,Новое с биркой,Частный продавец,285000,Puzzle,0,1,0
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Кожа,Фуксия,Средние ручки,1,Отличное состояние,Частный продавец,495000,Lindy,0,1,0
INT S,Женское,Клатчи и вечерние сумки,FENDI,Мех,Другое,Короткие ручки,0,Отличное состояние,Частный продавец,300000,Baguette,1,0,0
INT XS,Женское,Сумки через плечо,GUCCI,Деним,Бежевый,Длинный ремень,1,Отличное состояние,Частный продавец,313340,Horsebit 1955,0,0,0
INT M,Женское,Сумки через плечо,GUCCI,Деним,Голубой,Длинный ремень,1,Отличное состояние,Частный продавец,163340,GG Marmont,0,0,0
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Деним,Темно-синий,Длинный ремень,0,Хорошее состояние,Частный продавец,160000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,COACH,Кожа,Красный,Длинный ремень,0,Отличное состояние,Частный продавец,10000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,280000,Ordinary,0,1,1
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Золотой,Длинный ремень,0,Новое с биркой,Бутик,35630,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,220000,C Bag,0,1,1
INT XS,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Серебряный,Средние ручки,0,Хорошее состояние,Частный продавец,81200,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Синий,Длинный ремень,0,Новое с биркой,Бутик,18830,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,FENDI,Жаккард,Коричневый,Короткие ручки,0,Отличное состояние,Частный продавец,81200,Baguette,1,0,0
INT L,Женское,Сумки тоут,COACH,Искусственная кожа,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,32000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Искусственная кожа,Коричневый,Средние ручки,0,Новое с биркой,Бутик,18830,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Синий,Длинный ремень,0,Новое с биркой,Бутик,18830,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,GUCCI,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,150000,Ordinary,0,1,0
INT M,Женское,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,67690,Ordinary,1,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Коричневый,Длинный ремень,0,Новое с биркой,Бутик,18830,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Короткие ручки,0,Хорошее состояние,Частный продавец,171480,Speedy,0,0,0
INT M,Женское,Сумки с короткими ручками,FENDI,Мех,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,103750,Ordinary,1,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Длинный ремень,0,Новое с биркой,Бутик,18830,Ordinary,0,0,0
INT L,Женское,Сумки тоут,GUCCI,Кожа,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,54150,Ordinary,1,0,0
INT S,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Темно-синий,Длинный ремень,0,Хорошее состояние,Частный продавец,67690,Ordinary,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Черный,Средние ручки,0,Новое с биркой,Бутик,44730,Ordinary,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Коричневый,Длинный ремень,0,Новое с биркой,Бутик,44730,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,BOTTEGA VENETA,Кожа,Оранжевый,Средние ручки,0,Хорошее состояние,Частный продавец,103750,Hobo,0,0,0
INT XS,Женское,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Белый,Короткие ручки,0,Отличное состояние,Частный продавец,33000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Черный,Длинный ремень,0,Новое с биркой,Бутик,56630,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,1,Новое с биркой,Частный продавец,161000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,CHLOE,Кожа,Бежевый,Средние ручки,1,Отличное состояние,Частный продавец,101000,Kiss,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Коричневый,Средние ручки,0,Новое с биркой,Бутик,56630,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,WANDLER,Кожа,Красный,Длинный ремень,1,Отличное состояние,Частный продавец,36000,Ordinary,0,1,0
INT S,Женское,Сумки тоут,DOLCE&GABBANA,Кожа,Красный,Длинный ремень,0,Отличное состояние,Частный продавец,25000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,VERSACE JEANS COUTURE,Искусственная кожа,Коричневый,Средние ручки,0,Новое с биркой,Бутик,27930,Ordinary,0,0,0
INT U,Женское,Сумки тоут,PINKO,Кожа,Бежевый,Длинный ремень,0,Новое с биркой,Бутик,45430,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,144000,Diorama,0,0,0
INT XS,Женское,Сумки через плечо,YUZEFI,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,36900,Ordinary,0,0,0
INT U,Женское,Сумки тоут,PINKO,Кожа,Черный,Длинный ремень,0,Новое с биркой,Бутик,45430,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,COACH,Кожа,Бежевый,Средние ручки,1,Отличное состояние,Частный продавец,27000,Tabby,0,0,1
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,50000,Ordinary,0,0,0
INT U,Женское,Рюкзаки,PINKO,Кожа,Черный,Средние ручки,0,Новое с биркой,Бутик,44030,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,JIL SANDER,Кожа,Зеленый,Средние ручки,0,Хорошее состояние,Частный продавец,17000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,45000,Alma,1,0,0
INT U,Женское,Сумки через плечо,PINKO,Кожа,Черный,Длинный ремень,0,Новое с биркой,Бутик,41930,Ordinary,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Искусственная кожа,Синий,Короткие ручки,0,Новое с биркой,Бутик,26530,Ordinary,0,0,0
INT L,Женское,Сумки с короткими ручками,LOEWE,Кожа,Серебряный,Короткие ручки,0,Отличное состояние,Частный продавец,12000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Белый,Средние ручки,0,Хорошее состояние,Частный продавец,47000,Ordinary,1,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Искусственная кожа,Коричневый,Средние ручки,0,Новое с биркой,Бутик,26530,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,VALENTINO,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,23000,Glam Lock,0,0,0
INT S,Женское,Сумки тоут,CHRISTIAN DIOR PRE-OWNED,Ткань,Мульти,Короткие ручки,0,Новое с биркой,Частный продавец,185000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Серый,Короткие ручки,0,Новое с биркой,Бутик,28630,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,ULYANA SERGEENKO,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,90000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,200000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,TOD'S,Кожа,Белый,Длинный ремень,0,Отличное состояние,Частный продавец,55000,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,BOTTEGA VENETA,Кожа,Черный,Средние ручки,0,Отличное состояние,Частный продавец,60000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,COCCINELLE,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,15000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,KARL LAGERFELD,Искусственная кожа,Голубой,Длинный ремень,1,Новое с биркой,Частный продавец,21000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,LOVE MOSCHINO,Другое,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,13000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,MARC JACOBS,Лакированная кожа,Фуксия,Длинный ремень,0,Отличное состояние,Частный продавец,35000,The Snapshot Bag,0,0,1
INT M,Женское,Сумки с короткими ручками,TRUSSARDI,Искусственная кожа,Черный,Средние ручки,1,Отличное состояние,Частный продавец,10670,Ordinary,0,0,0
INT S,Женское,Клатчи и вечерние сумки,CEDRIC CHARLIER,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,13000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,WEEKEND MAX MARA,Кожа,Желтый,Длинный ремень,1,Новое с биркой,Частный продавец,30000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,JACQUEMUS,Кожа,Фиолетовый,Длинный ремень,1,Отличное состояние,Частный продавец,55000,Le Chiquito,0,0,0
INT S,Женское,Рюкзаки,KARL LAGERFELD,Кожа,Черный,Средние ручки,1,Новое с биркой,Частный продавец,24000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,MARC BY MARC JACOBS,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,35000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,ZANELLATO,Плетение,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,60000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,BVLGARI,Кожа,Коричневый,Короткие ручки,0,Отличное состояние,Частный продавец,180000,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Темно-синий,Длинный ремень,0,Отличное состояние,Частный продавец,15000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,ZANELLATO,Кожа,Синий,Длинный ремень,0,Хорошее состояние,Частный продавец,35000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,VIVIENNE WESTWOOD,Лакированная кожа,Розовый,Длинный ремень,0,Хорошее состояние,Частный продавец,65960,Ordinary,1,0,0
INT S,Женское,Сумки с короткими ручками,VIVIENNE WESTWOOD,Лакированная кожа,Золотой,Длинный ремень,0,Хорошее состояние,Частный продавец,72000,Ordinary,1,0,0
INT XS,Женское,Сумки через плечо,DIESEL,Кожа,Красный,Длинный ремень,0,Новое с биркой,Частный продавец,48000,Ordinary,0,0,0
INT S,Женское,Клатчи и вечерние сумки,VIVIENNE WESTWOOD,Кожа,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,55000,Ordinary,0,0,1
INT S,Женское,Сумки через плечо,GUCCI,Кожа,Серебряный,Длинный ремень,1,Отличное состояние,Частный продавец,213340,GG Marmont,0,0,0
INT M,Женское,Сумки с короткими ручками,COACH,Кожа,Коричневый,Короткие ручки,0,Отличное состояние,Частный продавец,25000,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,YUZEFI,Кожа,Белый,Короткие ручки,1,Отличное состояние,Частный продавец,16000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,KARL LAGERFELD,Кожа,Красный,Длинный ремень,1,Новое с биркой,Частный продавец,24000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,BALENCIAGA,Лакированная кожа,Белый,Длинный ремень,1,Хорошее состояние,Частный продавец,119000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Золотой,Длинный ремень,1,Отличное состояние,Частный продавец,613340,Gabrielle,0,0,0
INT M,Женское,Сумки через плечо,BALENCIAGA,Кожа,Белый,Длинный ремень,1,Хорошее состояние,Частный продавец,101500,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,FURLA,Кожа,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,27000,Metropolis,0,0,0
INT S,Женское,Клатчи и вечерние сумки,GUCCI,Другое,Бежевый,Длинный ремень,0,Отличное состояние,Частный продавец,65000,Dionysus,0,0,0
INT M,Женское,Сумки через плечо,VALENTINO,Кожа,Белый,Длинный ремень,0,Новое с биркой,Частный продавец,140000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,89000,j'adior,0,0,0
INT S,Женское,Сумки с короткими ручками,JACQUEMUS,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,56000,Le Chiquito,0,0,0
INT S,Женское,Клатчи и вечерние сумки,PHILIPP PLEIN,Кожа,Фуксия,Длинный ремень,0,Отличное состояние,Частный продавец,20000,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,MICHAEL KORS,Другое,Мульти,Средние ручки,0,Отличное состояние,Частный продавец,15000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,VALENTINO,Плетение,Бежевый,Длинный ремень,0,Отличное состояние,Частный продавец,37000,Roman Stud,0,0,0
INT M,Женское,Сумки через плечо,OFF-WHITE,Лакированная кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,33500,Jitney,0,1,0
INT XS,Женское,Сумки с короткими ручками,VERSACE,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,55000,Ordinary,1,0,0
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Кожа,Другое,Средние ручки,0,Хорошее состояние,Частный продавец,30000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,CELINE PRE-OWNED,Экзотическая кожа,Коралловый,Средние ручки,0,Отличное состояние,Частный продавец,30000,Ordinary,1,0,0
INT L,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Другое,Другое,Короткие ручки,0,Хорошее состояние,Частный продавец,55000,Ordinary,1,0,0
INT M,Женское,Сумки с короткими ручками,LOEWE,Кожа,Оранжевый,Короткие ручки,0,Отличное состояние,Частный продавец,37000,Ordinary,1,0,0
INT XS,Женское,Клатчи и вечерние сумки,DKNY,Кожа,Розовый,Средние ручки,0,Хорошее состояние,Частный продавец,10000,Ordinary,0,0,0
INT L,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Бордовый,Средние ручки,0,Хорошее состояние,Частный продавец,37000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,VERSACE,Другое,Коричневый,Короткие ручки,0,Отличное состояние,Частный продавец,26000,Ordinary,1,0,0
INT L,Женское,Клатчи и вечерние сумки,NO. 21,Кожа,Черный,Короткие ручки,0,Отличное состояние,Частный продавец,28800,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,DOLCE&GABBANA,Кожа,Розовый,Длинный ремень,1,Отличное состояние,Частный продавец,59000,Millennials,0,0,1
INT S,Женское,Сумки с короткими ручками,BY FAR,Кожа,Черный,Средние ручки,0,Отличное состояние,Частный продавец,33000,Ordinary,0,0,0
INT XS,Женское,Клатчи и вечерние сумки,JACQUEMUS,Кожа,Зеленый,Средние ручки,0,Новое с биркой,Частный продавец,28000,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,VALENTINO,Кожа,Бежевый,Длинный ремень,0,Отличное состояние,Частный продавец,79000,Vlogo,0,0,0
INT L,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Другое,Средние ручки,0,Хорошее состояние,Частный продавец,37000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,LIU JO,Ткань,Черный,Средние ручки,0,Новое с биркой,Бутик,13930,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,LIU JO,Синтетика,Черный,Длинный ремень,0,Новое с биркой,Бутик,14630,Ordinary,0,0,0
INT M,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Лакированная кожа,Желтый,Средние ручки,0,Хорошее состояние,Частный продавец,17000,Ordinary,0,0,0
INT XL,Женское,Сумки через плечо,VALENTINO,Деним,Красный,Средние ручки,0,Хорошее состояние,Частный продавец,40500,Ordinary,1,0,0
INT U,Женское,Сумки через плечо,PINKO,Кожа,Розовый,Средние ручки,0,Новое с биркой,Бутик,34230,Ordinary,0,0,0
INT U,Женское,Аксессуары для сумок,HERMES PRE-OWNED,Другое,Другое,Длинный ремень,0,Новое с биркой,Частный продавец,164000,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,462000,Herbag,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Другое,Черный,Средние ручки,0,Новое с биркой,Бутик,67900,Ordinary,0,0,0
INT S,Женское,Клатчи и вечерние сумки,BOTTEGA VENETA,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,100000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Оранжевый,Длинный ремень,1,Новое с биркой,Частный продавец,470000,Herbag,0,1,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Ткань,Бежевый,Средние ручки,0,Новое с биркой,Бутик,55900,Ordinary,0,0,0
INT U,Женское,Сумки тоут,EMPORIO ARMANI,Ткань,Черный,Средние ручки,0,Новое с биркой,Бутик,55900,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,LORO PIANA,Кожа,Коричневый,Короткие ручки,0,Новое с биркой,Частный продавец,390000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Ткань,Бежевый,Средние ручки,0,Новое с биркой,Бутик,45900,Ordinary,0,0,0
INT XS,Женское,Сумки тоут,HERMES PRE-OWNED,Кожа,Бежевый,Короткие ручки,0,Новое с биркой,Частный продавец,350000,Picotin,0,0,0
INT S,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Шелк,Темно-синий,Короткие ручки,1,Новое с биркой,Частный продавец,334000,Ordinary,0,1,0
INT U,Женское,Сумки через плечо,VERSACE JEANS COUTURE,Искусственная кожа,Черный,Длинный ремень,0,Новое с биркой,Бутик,20930,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,GUCCI,Ткань,Черный,Короткие ручки,1,Новое с биркой,Частный продавец,170000,Horsebit,0,1,0
INT U,Женское,Сумки с короткими ручками,HERMES PRE-OWNED,Другое,Бордовый,Длинный ремень,1,Новое с биркой,Частный продавец,365000,Herbag,0,1,1
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Ткань,Черный,Средние ручки,0,Новое с биркой,Бутик,45900,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Кожа,Черный,Средние ручки,0,Новое с биркой,Бутик,45900,Ordinary,0,0,0
INT L,Женское,Сумки тоут,BALENCIAGA,Кожа,Черный,Средние ручки,1,Новое с биркой,Частный продавец,320000,Hourglass,0,0,0
INT S,Женское,Сумки через плечо,PINKO,Кожа,Серый,Длинный ремень,0,Отличное состояние,Частный продавец,42670,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,EMPORIO ARMANI,Другое,Голубой,Длинный ремень,0,Новое с биркой,Бутик,21630,Ordinary,0,0,0
INT U,Женское,Сумки тоут,JACQUEMUS,Кожа,Желтый,Длинный ремень,1,Новое с биркой,Частный продавец,55000,Le Chiquito,0,0,0
