Размер,Раздел,Категория,Бренд,Материал сумок,Цвет,Длина ручки,Наличие пыльника,Состояние товара,Продавец,Цена,Модель,Винтаж,Наличие коробки,Наличие сертификата
INT U,Женское,Сумки тоут,PRADA,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,158333,Ordinary,0,0,0
INT S,Женское,Сумки тоут,CHANEL PRE-OWNED,Кожа,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,145800,Cambon,1,0,0
INT U,Женское,Сумки с короткими ручками,PINKO,Кожа,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,30000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,SAINT LAURENT,Ткань,Белый,Средние ручки,0,Новое с биркой,Частный продавец,177976,Ordinary,0,0,0
INT XS,Женское,Сумки с короткими ручками,GUCCI,Кожа,Зеленый,Длинный ремень,0,Новое с биркой,Частный продавец,800000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,PINKO,Кожа,Белый,Средние ручки,1,Новое с биркой,Частный продавец,29900,Ordinary,0,1,1
INT U,Женское,Сумки тоут,PRADA,Кожа,Коричневый,Средние ручки,0,Новое с биркой,Частный продавец,365357,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Отличное состояние,Частный продавец,155800,Cambon,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Мульти,Короткие ручки,0,Отличное состояние,Частный продавец,155800,Alma,0,0,0
INT U,Женское,Сумки с короткими ручками,MIU MIU,Кожа,Фиолетовый,Длинный ремень,0,Новое с биркой,Частный продавец,192262,Ordinary,0,0,0
INT U,Женское,Сумки тоут,FENDI,Ткань,Коричневый,Короткие ручки,1,Новое с биркой,Частный продавец,375900,Sunshine,0,0,1
INT S,Женское,Сумки через плечо,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,83000,Ordinary,0,1,1
INT U,Женское,Рюкзаки,MARC JACOBS,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,45000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,CELINE PRE-OWNED,Кожа,Черный,Длинный ремень,1,Отличное состояние,Частный продавец,207900,Ordinary,0,0,1
INT S,Женское,Сумки через плечо,PRADA,Кожа,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,295000,Pocket,0,0,0
INT U,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Длинный ремень,0,Отличное состояние,Частный продавец,120000,Petite Malle,0,0,0
INT U,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Частный продавец,275900,Manhattan,0,0,1
INT U,Женское,Пляжные сумки,ZIMMERMANN,Плетение,Бежевый,Короткие ручки,0,Новое с биркой,Частный продавец,130000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,COACH,Кожа,Белый,Короткие ручки,0,Новое с биркой,Частный продавец,13500,Ordinary,0,0,0
INT U,Женское,Сумки тоут,BURBERRY,Другое,Мульти,Длинный ремень,0,Новое с биркой,Частный продавец,128658,Freya,0,0,0
INT U,Женское,Сумки тоут,FENDI,Кожа,Темно-синий,Длинный ремень,1,Новое с биркой,Частный продавец,682990,Peekaboo,0,0,1
INT M,Женское,Сумки с короткими ручками,CHRISTIAN DIOR PRE-OWNED,Кожа,Черный,Средние ручки,0,Отличное состояние,Частный продавец,73400,Ordinary,1,0,0
INT M,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Мех,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,85000,Ordinary,0,0,0
INT U,Женское,Сумки через плечо,FENDI,Кожа,Коричневый,Длинный ремень,1,Новое с биркой,Частный продавец,469990,Baguette,0,0,1
INT S,Женское,Сумки через плечо,CHANEL PRE-OWNED,Замша,Розовый,Средние ручки,0,Хорошее состояние,Частный продавец,232000,Flap,1,0,0
INT XS,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Розовый,Короткие ручки,0,Отличное состояние,Частный продавец,69500,Pochette,1,0,0
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,115000,Ordinary,0,0,0
INT XS,Женское,Клатчи и вечерние сумки,BOTTEGA VENETA,Экзотическая кожа,Черный,Короткие ручки,0,Отличное состояние,Частный продавец,107150,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,FENDI,Кожа,Серый,Длинный ремень,0,Отличное состояние,Частный продавец,55500,Ordinary,0,0,0
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,110000,Ordinary,0,0,0
INT M,Женское,Сумки тоут,CELINE PRE-OWNED,Другое,Бежевый,Средние ручки,0,Новое с биркой,Частный продавец,100000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,MICHAEL KORS,Другое,Бежевый,Длинный ремень,0,Новое с биркой,Частный продавец,17900,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,MICHAEL KORS,Другое,Черный,Длинный ремень,0,Новое с биркой,Частный продавец,15500,Ordinary,0,0,0
INT U,Женское,Сумки тоут,TOTEME,Кожа,Другое,Средние ручки,0,Новое с биркой,Частный продавец,130941,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,MICHAEL KORS,Другое,Коричневый,Длинный ремень,0,Отличное состояние,Частный продавец,22500,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,DIESEL,Деним,Голубой,Средние ручки,1,Новое с биркой,Частный продавец,75000,Ordinary,0,0,0
INT U,Женское,Сумки тоут,LOEWE,Плетение,Бежевый,Короткие ручки,0,Новое с биркой,Частный продавец,117418,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,PRADA,Ткань,Черный,Короткие ручки,0,Новое с биркой,Частный продавец,190000,Re-Edition 2000,0,0,0
INT M,Женское,Сумки тоут,SAINT LAURENT,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,110000,Sac de Jour,0,0,0
INT U,Женское,Сумки с короткими ручками,JACQUEMUS,Другое,Коричневый,Длинный ремень,0,Новое с биркой,Частный продавец,122294,Le Bambino,0,0,0
INT S,Женское,Сумки с короткими ручками,BALENCIAGA,Кожа,Антрацит,Короткие ручки,0,Новое с биркой,Частный продавец,418000,Ordinary,0,0,0
INT XS,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Короткие ручки,0,Хорошее состояние,Частный продавец,90000,Pochette,1,0,0
INT L,Женское,Сумки тоут,STELLA MCCARTNEY,Шерсть,Другое,Короткие ручки,0,Отличное состояние,Частный продавец,15000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,PRADA,Другое,Черный,Средние ручки,0,Новое с биркой,Частный продавец,223448,Ordinary,0,0,0
INT XL,Женское,Сумки тоут,GUCCI,Другое,Бежевый,Длинный ремень,1,Новое с биркой,Частный продавец,165000,Ophidia,0,0,0
INT M,Женское,Сумки через плечо,GUCCI,Ткань,Бежевый,Средние ручки,0,Хорошее состояние,Частный продавец,55000,Hobo,0,0,0
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Белый,Короткие ручки,1,Новое с биркой,Частный продавец,626900,Ordinary,0,0,1
INT L,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,260000,Sunset,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Бежевый,Короткие ручки,0,Отличное состояние,Частный продавец,585000,Capucines,0,0,0
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Коричневый,Короткие ручки,1,Новое с биркой,Частный продавец,720900,Ordinary,0,0,1
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Серый,Короткие ручки,1,Новое с биркой,Частный продавец,673900,Ordinary,0,0,1
INT S,Женское,Сумки через плечо,PRADA,Другое,Черный,Средние ручки,0,Хорошее состояние,Частный продавец,79000,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,DOLCE&GABBANA,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,Частный продавец,46000,Ordinary,0,0,0
INT U,Женское,Сумки с короткими ручками,FENDI,Кожа,Бежевый,Короткие ручки,1,Новое с биркой,Частный продавец,673900,Ordinary,0,0,1
INT S,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Короткие ручки,0,Новое с биркой,Частный продавец,69000,Pochette,0,0,0
INT M,Женское,Сумки с короткими ручками,CHANEL PRE-OWNED,Кожа,Серый,Короткие ручки,0,Отличное состояние,Частный продавец,309530,Ordinary,0,0,0
INT M,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Золотой,Средние ручки,0,Отличное состояние,Частный продавец,185000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,NINA RICCI,Замша,Серый,Средние ручки,0,Хорошее состояние,Частный продавец,13500,Ordinary,0,0,0
INT S,Женское,Сумки тоут,HERMES PRE-OWNED,Кожа,Синий,Длинный ремень,0,Отличное состояние,Частный продавец,800000,Jypsiere,0,0,0
INT M,Женское,Сумки через плечо,CHANEL PRE-OWNED,Кожа,Черный,Длинный ремень,0,Хорошее состояние,Частный продавец,663340,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,ALAIA,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,10000,Ordinary,1,0,0
INT S,Женское,Поясные сумки,GUCCI,Кожа,Бежевый,Средние ручки,0,Отличное состояние,Частный продавец,39000,GG Marmont,0,0,0
INT M,Женское,Сумки с короткими ручками,SAINT LAURENT,Лакированная кожа,Черный,Короткие ручки,0,Отличное состояние,Частный продавец,26500,Ordinary,1,0,0
INT XS,Женское,Рюкзаки,MICHAEL KORS,Кожа,Красный,Средние ручки,0,Отличное состояние,Частный продавец,12500,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,SAINT LAURENT,Кожа,Бордовый,Длинный ремень,0,Отличное состояние,Частный продавец,180000,Ordinary,0,0,0
INT XS,Женское,Клатчи и вечерние сумки,BOTTEGA VENETA,Экзотическая кожа,Черный,Короткие ручки,0,Отличное состояние,Частный продавец,200000,Knot,0,0,0
INT S,Женское,Сумки через плечо,SALVATORE FERRAGAMO,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,46920,Ordinary,0,0,0
INT XS,Женское,Аксессуары для сумок,FENDI,Кожа,Коричневый,Длинный ремень,0,Отличное состояние,Частный продавец,14500,Ordinary,0,0,0
INT U,Женское,Клатчи и вечерние сумки,DOLCE&GABBANA,Кожа,Бежевый,Средние ручки,0,Отличное состояние,Частный продавец,27000,Ordinary,1,0,0
INT S,Женское,Сумки через плечо,FURLA,Кожа,Голубой,Длинный ремень,0,Отличное состояние,Частный продавец,12000,Ordinary,0,0,0
INT S,Женское,Сумки с короткими ручками,LOEWE,Замша,Голубой,Средние ручки,0,Отличное состояние,Частный продавец,19000,Ordinary,1,0,0
INT L,Женское,Сумки с короткими ручками,SOPHIE HULME,Кожа,Коричневый,Короткие ручки,0,Отличное состояние,Частный продавец,28500,Ordinary,0,0,0
INT M,Женское,Сумки с короткими ручками,LOUIS VUITTON PRE-OWNED,Кожа,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,89000,Ordinary,1,0,0
INT U,Женское,Сумки тоут,LOUIS VUITTON PRE-OWNED,Другое,Коричневый,Средние ручки,0,Хорошее состояние,Частный продавец,50000,Galliera,1,0,0
INT M,Женское,Сумки через плечо,LOUIS VUITTON PRE-OWNED,Кожа,Черный,Длинный ремень,0,Отличное состояние,Частный продавец,200000,Twist,0,0,0
INT M,Женское,Сумки через плечо,FURLA,Кожа,Темно-синий,Средние ручки,0,Отличное состояние,Частный продавец,30000,1927,0,1,0
INT M,Женское,Сумки тоут,MICHAEL KORS,Другое,Мульти,Короткие ручки,0,Отличное состояние,Частный продавец,15000,Ordinary,0,0,0
INT S,Женское,Сумки через плечо,HERMES PRE-OWNED,Кожа,Черный,Длинный ремень,1,Новое с биркой,Частный продавец,379000,Evelyne,0,1,0
INT S,Женское,Сумки тоут,MICHAEL KORS,Искусственная кожа,Голубой,Длинный ремень,0,Новое с биркой,Частный продавец,17000,Ordinary,0,0,0
